QB,RB,RB,WR,WR,WR,TE,DST,FLEX,Proj
Tyrod Taylor ($5600),Alvin Kamara ($7200),Miles Sanders ($6300),Davante Adams ($7300),Adam Thielen ($6700),Odell Beckham Jr. ($5900),Kyle Rudolph ($3700),Patriots ($3200),Marquez Valdes-Scantling ($4100),134.4
Carson Wentz ($6300),Austin Ekeler ($7000),Miles Sanders ($6300),Davante Adams ($7300),Tyler Lockett ($6500),Terry McLaurin ($5600),Dallas Goedert ($4100),Jets ($2100),Steven Sims Jr. ($4700),134.3
Gardner Minshew II ($5800),Alvin Kamara ($7200),Chris Thompson ($4000),Michael Thomas ($9000),Davante Adams ($7300),T.Y. Hilton ($5800),Jack Doyle ($3600),Seahawks ($2400),DeSean Jackson ($4900),134.3
Lamar Jackson ($8100),Alvin Kamara ($7200),Miles Sanders ($6300),Chris Godwin ($7100),Mike Evans ($6900),Robby Anderson ($4700),Robert Tonyan ($2500),Dolphins ($2000),Ronald Jones II ($5200),134.3
Teddy Bridgewater ($5900),Christian McCaffrey ($10000),Alvin Kamara ($7200),Davante Adams ($7300),Marquise Brown ($5100),Henry Ruggs III ($5100),Logan Thomas ($2800),Dolphins ($2000),Curtis Samuel ($4600),134.2
Lamar Jackson ($8100),Christian McCaffrey ($10000),Miles Sanders ($6300),T.Y. Hilton ($5800),Robby Anderson ($4700),Curtis Samuel ($4600),Chris Herndon ($3300),Lions ($2700),Hunter Renfrow ($4500),134.2
Drew Brees ($6800),Christian McCaffrey ($10000),Alvin Kamara ($7200),Mike Evans ($6900),Kenny Golladay ($6200),Tre'Quan Smith ($4000),Chris Herndon ($3300),Cardinals ($2100),Dontrelle Inman ($3400),134.2
Tom Brady ($6500),Joe Mixon ($6700),Ronald Jones II ($5200),Michael Thomas ($9000),Mike Evans ($6900),Marquise Brown ($5100),Robert Tonyan ($2500),Patriots ($3200),DeSean Jackson ($4900),134.1
Kirk Cousins ($5700),Christian McCaffrey ($10000),Dalvin Cook ($7900),Calvin Ridley ($6100),Odell Beckham Jr. ($5900),DeSean Jackson ($4900),Robert Tonyan ($2500),Cardinals ($2100),Allen Lazard ($4900),134.1
Matt Ryan ($6700),Dalvin Cook ($7900),Miles Sanders ($6300),Kenny Golladay ($6200),Christian Kirk ($5000),Larry Fitzgerald ($4500),George Kittle ($7200),Patriots ($3200),Chris Thompson ($3000),134.1
