QB,RB,RB,WR,WR,WR,TE,DST,FLEX,Proj
Drew Brees ($6800),Joe Mixon ($6700),Antonio Gibson ($4000),Michael Thomas ($9000),Chris Godwin ($7100),Marquise Brown ($5100),Rob Gronkowski ($4900),Vikings ($2500),Parris Campbell ($3900),128.8
Tom Brady ($6500),Alvin Kamara ($7200),Antonio Gibson ($4000),Mike Evans ($6900),Odell Beckham Jr. ($5900),Emmanuel Sanders ($5700),Zach Ertz ($5800),Colts ($3000),Christian Kirk ($5000),128.8
Russell Wilson ($7000),Todd Gurley II ($6100),Ronald Jones II ($5200),Julio Jones ($7700),Tyler Lockett ($6500),Odell Beckham Jr. ($5900),Hayden Hurst ($4300),Jaguars ($2300),DeSean Jackson ($4900),128.8
Carson Wentz ($6300),Christian McCaffrey ($10000),Matt Breida ($5000),Chris Godwin ($7100),Odell Beckham Jr. ($5900),Preston Williams ($4500),Mike Gesicki ($4500),Falcons ($2300),N'Keal Harry ($4400),128.8
Lamar Jackson ($8100),Dalvin Cook ($7900),Joe Mixon ($6700),Tyler Lockett ($6500),Allen Lazard ($4900),Equanimeous St. Brown ($3500),Irv Smith Jr. ($3100),Patriots ($3200),Todd Gurley II ($6100),128.7
Tom Brady ($6500),Alvin Kamara ($7200),Tevin Coleman ($4200),Mike Evans ($6900),Tyler Lockett ($6500),Tre'Quan Smith ($4000),George Kittle ($7200),Eagles ($3600),Parris Campbell ($3900),128.7
Gardner Minshew II ($5800),Dalvin Cook ($7900),Joe Mixon ($6700),Mike Evans ($6900),Adam Thielen ($6700),T.Y. Hilton ($5800),Mo Alie-Cox ($2600),49ers ($3500),Chris Conley ($4000),128.7
Derek Carr ($5900),Christian McCaffrey ($10000),Tevin Coleman ($4200),DK Metcalf ($5800),Terry McLaurin ($5600),Henry Ruggs III ($5100),Mark Andrews ($6000),Lions ($2700),Hunter Renfrow ($4500),128.7
Jimmy Garoppolo ($5800),Christian McCaffrey ($10000),Austin Ekeler ($7000),Calvin Ridley ($6100),A.J. Green ($5700),DeSean Jackson ($4900),Hunter Henry ($5300),Jets ($2100),Jalen Guyton ($3000),128.7
Matthew Stafford ($6200),Dalvin Cook ($7900),Miles Sanders ($6300),Allen Robinson II ($6500),Terry McLaurin ($5600),Marvin Jones Jr. ($5500),Mark Andrews ($6000),Falcons ($2300),Ted Ginn Jr. ($3700),128.7
Matthew Stafford ($6200),Josh Jacobs ($6800),Ronald Jones II ($5200),Davante Adams ($7300),Allen Robinson II ($6500),Kenny Golladay ($6200),Irv Smith Jr. ($3100),Bills ($3700),Anthony Miller ($5000),128.7
Carson Wentz ($6300),Dalvin Cook ($7900),Alvin Kamara ($7200),Michael Thomas ($9000),Emmanuel Sanders ($5700),Robby Anderson ($4700),O.J. Howard ($3700),Jets ($2100),Cordarrelle Patterson ($3400),128.7
Teddy Bridgewater ($5900),Christian McCaffrey ($10000),Tevin Coleman ($4200),DJ Moore ($6600),Tyler Lockett ($6500),DK Metcalf ($5800),Ian Thomas ($3400),Ravens ($3100),N'Keal Harry ($4400),128.7
Josh Allen ($6500),Alvin Kamara ($7200),Joe Mixon ($6700),Chris Godwin ($7100),Kenny Golladay ($6200),Anthony Miller ($5000),T.J. Hockenson ($4200),Falcons ($2300),Danny Amendola ($4800),128.7
Mitchell Trubisky ($5400),Alvin Kamara ($7200),Chris Carson ($6200),Chris Godwin ($7100),Adam Thielen ($6700),Terry McLaurin ($5600),Jared Cook ($5500),Cardinals ($2100),Tre'Quan Smith ($4000),128.7
Tom Brady ($6500),Alvin Kamara ($7200),Joe Mixon ($6700),Michael Thomas ($9000),Allen Lazard ($4900),Larry Fitzgerald ($4500),O.J. Howard ($3700),Ravens ($3100),Zack Moss ($4400),128.7
Tom Brady ($6500),Christian McCaffrey ($10000),Dalvin Cook ($7900),Odell Beckham Jr. ($5900),T.Y. Hilton ($5800),Zach Pascal ($4200),Jack Doyle ($3600),WAS Football Team ($2000),Chris Thompson ($4000),128.7
Josh Allen ($6500),Dalvin Cook ($7900),Alvin Kamara ($7200),Julio Jones ($7700),T.Y. Hilton ($5800),Scotty Miller ($4000),O.J. Howard ($3700),WAS Football Team ($2000),Ronald Jones II ($5200),128.7
Russell Wilson ($7000),Chris Carson ($6200),Kerryon Johnson ($4400),Michael Thomas ($9000),Calvin Ridley ($6100),DK Metcalf ($5800),Greg Olsen ($4000),Raiders ($2600),DeSean Jackson ($4900),128.7
Cam Newton ($6100),Dalvin Cook ($7900),James White ($6000),Chris Godwin ($7100),Terry McLaurin ($5600),Preston Williams ($4500),Zach Ertz ($5800),Colts ($3000),Jakeem Grant ($3900),128.6
Josh Allen ($6500),Josh Jacobs ($6800),Mark Ingram II ($5500),Calvin Ridley ($6100),Jarvis Landry ($5900),DK Metcalf ($5800),Mark Andrews ($6000),Saints ($2400),J.K. Dobbins ($5000),128.6
Jimmy Garoppolo ($5800),Christian McCaffrey ($10000),Dalvin Cook ($7900),DeAndre Hopkins ($6800),Christian Kirk ($5000),DeSean Jackson ($4900),Chris Herndon ($3300),Jaguars ($2300),Jerick McKinnon ($4000),128.6
Josh Allen ($6500),Josh Jacobs ($6800),Antonio Gibson ($4000),Michael Thomas ($9000),Stefon Diggs ($6400),Calvin Ridley ($6100),Chris Herndon ($3300),Ravens ($3100),Cole Beasley ($4800),128.6
Tom Brady ($6500),Matt Breida ($5000),Ryan Nall ($4000),Michael Thomas ($9000),Chris Godwin ($7100),Mike Evans ($6900),Irv Smith Jr. ($3100),Jaguars ($2300),Calvin Ridley ($6100),128.6
Lamar Jackson ($8100),Alvin Kamara ($7200),Josh Jacobs ($6800),Julio Jones ($7700),Calvin Ridley ($6100),Russell Gage ($4300),Greg Olsen ($4000),Jaguars ($2300),Dontrelle Inman ($3400),128.6
Ryan Fitzpatrick ($5300),Alvin Kamara ($7200),Todd Gurley II ($6100),Adam Thielen ($6700),Julian Edelman ($6000),DeVante Parker ($6000),Mark Andrews ($6000),Chargers ($2800),Jakeem Grant ($3900),128.6
Josh Allen ($6500),Dalvin Cook ($7900),Aaron Jones ($6900),Calvin Ridley ($6100),DK Metcalf ($5800),T.Y. Hilton ($5800),Hayden Hurst ($4300),Ravens ($3100),David Moore ($3600),128.6
Josh Allen ($6500),Alvin Kamara ($7200),Austin Ekeler ($7000),Mike Evans ($6900),Marquise Brown ($5100),Rashard Higgins ($4300),Mark Andrews ($6000),Dolphins ($2000),J.K. Dobbins ($5000),128.6
Drew Brees ($6800),Todd Gurley II ($6100),Ronald Jones II ($5200),Julio Jones ($7700),Chris Godwin ($7100),Emmanuel Sanders ($5700),Irv Smith Jr. ($3100),Patriots ($3200),Marquise Brown ($5100),128.6
Ryan Fitzpatrick ($5300),Dalvin Cook ($7900),Miles Sanders ($6300),Michael Thomas ($9000),Julian Edelman ($6000),Preston Williams ($4500),T.J. Hockenson ($4200),Seahawks ($2400),N'Keal Harry ($4400),128.6
Cam Newton ($6100),Dalvin Cook ($7900),Mark Ingram II ($5500),Mike Evans ($6900),Odell Beckham Jr. ($5900),Marvin Jones Jr. ($5500),Mark Andrews ($6000),Jets ($2100),Miles Boykin ($4100),128.6
Matt Ryan ($6700),Alvin Kamara ($7200),Austin Ekeler ($7000),Michael Thomas ($9000),Preston Williams ($4500),N'Keal Harry ($4400),Mike Gesicki ($4500),Raiders ($2600),Jakeem Grant ($3900),128.6
Matt Ryan ($6700),Miles Sanders ($6300),Tevin Coleman ($4200),Julio Jones ($7700),Davante Adams ($7300),Terry McLaurin ($5600),Hayden Hurst ($4300),Bills ($3700),Phillip Dorsett II ($4200),128.6
Derek Carr ($5900),Christian McCaffrey ($10000),Miles Sanders ($6300),Mike Evans ($6900),Tyler Lockett ($6500),Curtis Samuel ($4600),Ian Thomas ($3400),Vikings ($2500),Parris Campbell ($3900),128.6
Cam Newton ($6100),Austin Ekeler ($7000),Joe Mixon ($6700),Michael Thomas ($9000),Tyler Boyd ($6100),DeSean Jackson ($4900),Ian Thomas ($3400),Jets ($2100),Mike Williams ($4700),128.6
Tom Brady ($6500),Miles Sanders ($6300),James White ($6000),Calvin Ridley ($6100),Julian Edelman ($6000),DeVante Parker ($6000),Mike Gesicki ($4500),Bills ($3700),DeSean Jackson ($4900),128.6
Jimmy Garoppolo ($5800),Austin Ekeler ($7000),Antonio Gibson ($4000),DeAndre Hopkins ($6800),Tyler Lockett ($6500),Terry McLaurin ($5600),George Kittle ($7200),Raiders ($2600),Larry Fitzgerald ($4500),128.6
Joe Burrow ($5800),Dalvin Cook ($7900),Joe Mixon ($6700),Keenan Allen ($6400),T.Y. Hilton ($5800),A.J. Green ($5700),Dallas Goedert ($4100),Lions ($2700),DeSean Jackson ($4900),128.6
Tyrod Taylor ($5600),Alvin Kamara ($7200),J.K. Dobbins ($5000),Julio Jones ($7700),DJ Moore ($6600),Odell Beckham Jr. ($5900),Nick Boyle ($3300),Eagles ($3600),Marquise Brown ($5100),128.5
Philip Rivers ($6000),Christian McCaffrey ($10000),Alvin Kamara ($7200),Terry McLaurin ($5600),Laviska Shenault Jr. ($4400),Zach Pascal ($4200),Zach Ertz ($5800),Lions ($2700),Chris Conley ($4000),128.5
Lamar Jackson ($8100),Dalvin Cook ($7900),Josh Jacobs ($6800),Mike Evans ($6900),Adam Thielen ($6700),Olabisi Johnson ($4100),Kyle Rudolph ($3700),Jets ($2100),Damiere Byrd ($3200),128.5
Kirk Cousins ($5700),Christian McCaffrey ($10000),Austin Ekeler ($7000),Adam Thielen ($6700),Allen Lazard ($4900),Marquez Valdes-Scantling ($4100),Mark Andrews ($6000),Seahawks ($2400),Damiere Byrd ($3200),128.5
Mitchell Trubisky ($5400),Todd Gurley II ($6100),D'Andre Swift ($4900),Julio Jones ($7700),Kenny Golladay ($6200),Terry McLaurin ($5600),Mark Andrews ($6000),Raiders ($2600),Marvin Jones Jr. ($5500),128.5
Carson Wentz ($6300),Alvin Kamara ($7200),Josh Jacobs ($6800),Michael Thomas ($9000),Mike Evans ($6900),Curtis Samuel ($4600),Cameron Brate ($3000),Ravens ($3100),Chris Thompson ($3000),128.5
Lamar Jackson ($8100),Christian McCaffrey ($10000),Joe Mixon ($6700),Julio Jones ($7700),Laviska Shenault Jr. ($4400),Parris Campbell ($3900),Mo Alie-Cox ($2600),Lions ($2700),Keelan Cole ($3800),128.5
Cam Newton ($6100),Austin Ekeler ($7000),Matt Breida ($5000),Julio Jones ($7700),Tyler Lockett ($6500),Marquise Brown ($5100),Mike Gesicki ($4500),Eagles ($3600),Preston Williams ($4500),128.5
Cam Newton ($6100),James White ($6000),Matt Breida ($5000),Chris Godwin ($7100),Julian Edelman ($6000),Marquise Brown ($5100),George Kittle ($7200),Seahawks ($2400),DeSean Jackson ($4900),128.5
Teddy Bridgewater ($5900),Christian McCaffrey ($10000),Miles Sanders ($6300),Adam Thielen ($6700),DeSean Jackson ($4900),Curtis Samuel ($4600),Jason Witten ($3200),Cardinals ($2100),Chris Carson ($6200),128.5
Baker Mayfield ($5700),Christian McCaffrey ($10000),Alvin Kamara ($7200),Marvin Jones Jr. ($5500),Willie Snead IV ($4000),Dontrelle Inman ($3400),Mark Andrews ($6000),Patriots ($3200),J.K. Dobbins ($5000),128.5
Drew Brees ($6800),Alvin Kamara ($7200),Austin Ekeler ($7000),Adam Thielen ($6700),Calvin Ridley ($6100),Jarvis Landry ($5900),O.J. Howard ($3700),Raiders ($2600),Tre'Quan Smith ($4000),128.5
Josh Allen ($6500),Christian McCaffrey ($10000),Alvin Kamara ($7200),DJ Moore ($6600),Robby Anderson ($4700),Damiere Byrd ($3200),Jason Witten ($3200),Falcons ($2300),Miles Sanders ($6300),128.5
Drew Brees ($6800),Christian McCaffrey ($10000),Miles Sanders ($6300),DJ Moore ($6600),Henry Ruggs III ($5100),Hunter Renfrow ($4500),Robert Tonyan ($2500),Dolphins ($2000),Todd Gurley II ($6100),128.5
Lamar Jackson ($8100),Austin Ekeler ($7000),Joe Mixon ($6700),Adam Thielen ($6700),Tyler Boyd ($6100),N'Keal Harry ($4400),Hunter Henry ($5300),Jaguars ($2300),Dontrelle Inman ($3400),128.5
Lamar Jackson ($8100),Dalvin Cook ($7900),Kerryon Johnson ($4400),Julio Jones ($7700),Calvin Ridley ($6100),DK Metcalf ($5800),Chris Herndon ($3300),Panthers ($2500),Phillip Dorsett II ($4200),128.5
Tom Brady ($6500),Dalvin Cook ($7900),Joe Mixon ($6700),Odell Beckham Jr. ($5900),Jarvis Landry ($5900),Marquise Brown ($5100),Austin Hooper ($5100),Dolphins ($2000),Tarik Cohen ($4900),128.5
Teddy Bridgewater ($5900),Christian McCaffrey ($10000),Todd Gurley II ($6100),Tyler Lockett ($6500),Henry Ruggs III ($5100),Robby Anderson ($4700),Zach Ertz ($5800),Lions ($2700),Damiere Byrd ($3200),128.5
Dwayne Haskins Jr. ($5000),Christian McCaffrey ($10000),J.D. McKissic ($4000),Jarvis Landry ($5900),DK Metcalf ($5800),T.Y. Hilton ($5800),Zach Ertz ($5800),Chargers ($2800),DeSean Jackson ($4900),128.4
Lamar Jackson ($8100),Christian McCaffrey ($10000),Kerryon Johnson ($4400),Tyler Lockett ($6500),Marquise Brown ($5100),Allen Lazard ($4900),Mark Andrews ($6000),WAS Football Team ($2000),Chris Moore ($3000),128.4
Tyrod Taylor ($5600),Dalvin Cook ($7900),Alvin Kamara ($7200),Davante Adams ($7300),DeVante Parker ($6000),Christian Kirk ($5000),Marcedes Lewis ($3000),Ravens ($3100),Allen Lazard ($4900),128.4
Matt Ryan ($6700),Christian McCaffrey ($10000),Alvin Kamara ($7200),Calvin Ridley ($6100),Marvin Jones Jr. ($5500),Anthony Miller ($5000),Jimmy Graham ($3800),Jaguars ($2300),Cordarrelle Patterson ($3400),128.4
Mitchell Trubisky ($5400),Christian McCaffrey ($10000),Kerryon Johnson ($4400),Davante Adams ($7300),Kenny Golladay ($6200),Anthony Miller ($5000),Chris Herndon ($3300),Eagles ($3600),Danny Amendola ($4800),128.4
Tom Brady ($6500),Christian McCaffrey ($10000),Austin Ekeler ($7000),DJ Moore ($6600),Marquise Brown ($5100),Henry Ruggs III ($5100),Chris Herndon ($3300),WAS Football Team ($2000),Bryan Edwards ($4200),128.4
Russell Wilson ($7000),Josh Jacobs ($6800),Jonathan Taylor ($5700),Julio Jones ($7700),T.Y. Hilton ($5800),Terry McLaurin ($5600),Hayden Hurst ($4300),Chargers ($2800),Russell Gage ($4300),128.4
Russell Wilson ($7000),Christian McCaffrey ($10000),Tarik Cohen ($4900),Julio Jones ($7700),Tyler Lockett ($6500),Marquise Brown ($5100),Mo Alie-Cox ($2600),Dolphins ($2000),Phillip Dorsett II ($4200),128.4
Tyrod Taylor ($5600),Joe Mixon ($6700),Tevin Coleman ($4200),Michael Thomas ($9000),Adam Thielen ($6700),Marquise Brown ($5100),Hunter Henry ($5300),Lions ($2700),Mike Williams ($4700),128.4
Gardner Minshew II ($5800),Dalvin Cook ($7900),Todd Gurley II ($6100),Tyler Lockett ($6500),Kenny Golladay ($6200),T.Y. Hilton ($5800),Jack Doyle ($3600),Bills ($3700),Michael Pittman Jr. ($4400),128.3
Carson Wentz ($6300),Aaron Jones ($6900),Jonathan Taylor ($5700),Michael Thomas ($9000),Tyler Lockett ($6500),DeSean Jackson ($4900),Dallas Goedert ($4100),Lions ($2700),Dontrelle Inman ($3400),128.3
Russell Wilson ($7000),Christian McCaffrey ($10000),Miles Sanders ($6300),Adam Thielen ($6700),Kenny Golladay ($6200),Marquez Valdes-Scantling ($4100),Irv Smith Jr. ($3100),Ravens ($3100),Equanimeous St. Brown ($3500),128.3
Drew Brees ($6800),Christian McCaffrey ($10000),Alvin Kamara ($7200),Marvin Jones Jr. ($5500),Marquise Brown ($5100),Scotty Miller ($4000),O.J. Howard ($3700),Bills ($3700),Ryan Nall ($4000),128.3
Drew Brees ($6800),Alvin Kamara ($7200),Austin Ekeler ($7000),Mike Evans ($6900),DeVante Parker ($6000),Scotty Miller ($4000),Jack Doyle ($3600),Jets ($2100),Miles Sanders ($6300),128.3
Carson Wentz ($6300),Christian McCaffrey ($10000),Tevin Coleman ($4200),Davante Adams ($7300),DJ Moore ($6600),Robby Anderson ($4700),Dallas Goedert ($4100),Jaguars ($2300),Hunter Renfrow ($4500),128.3
Baker Mayfield ($5700),Christian McCaffrey ($10000),Miles Sanders ($6300),Tyler Lockett ($6500),Odell Beckham Jr. ($5900),Marquise Brown ($5100),Jack Doyle ($3600),Chargers ($2800),Miles Boykin ($4100),128.3
Ryan Fitzpatrick ($5300),Christian McCaffrey ($10000),James White ($6000),Adam Thielen ($6700),Julian Edelman ($6000),Marquise Brown ($5100),Ian Thomas ($3400),Colts ($3000),N'Keal Harry ($4400),128.3
Mitchell Trubisky ($5400),Alvin Kamara ($7200),Joe Mixon ($6700),Allen Robinson II ($6500),Kenny Golladay ($6200),DeVante Parker ($6000),Jesse James ($3200),Bills ($3700),Marquise Brown ($5100),128.3
Matt Ryan ($6700),Miles Sanders ($6300),Ronald Jones II ($5200),Davante Adams ($7300),Adam Thielen ($6700),Allen Lazard ($4900),George Kittle ($7200),Jets ($2100),Equanimeous St. Brown ($3500),128.3
Aaron Rodgers ($6300),Dalvin Cook ($7900),Josh Jacobs ($6800),Michael Thomas ($9000),Adam Thielen ($6700),Preston Williams ($4500),Marcedes Lewis ($3000),Lions ($2700),Chris Thompson ($3000),128.3
Josh Allen ($6500),Christian McCaffrey ($10000),Matt Breida ($5000),Michael Thomas ($9000),Terry McLaurin ($5600),Robby Anderson ($4700),Foster Moreau ($2500),Cardinals ($2100),Curtis Samuel ($4600),128.3
Matthew Stafford ($6200),Todd Gurley II ($6100),Tarik Cohen ($4900),Davante Adams ($7300),Adam Thielen ($6700),Kenny Golladay ($6200),Cole Kmet ($3400),Eagles ($3600),Marvin Jones Jr. ($5500),128.3
Jimmy Garoppolo ($5800),Todd Gurley II ($6100),Tarik Cohen ($4900),Michael Thomas ($9000),Julio Jones ($7700),DK Metcalf ($5800),Hayden Hurst ($4300),Dolphins ($2000),Russell Gage ($4300),128.3
Joe Burrow ($5800),Austin Ekeler ($7000),Joe Mixon ($6700),Keenan Allen ($6400),Kenny Golladay ($6200),DK Metcalf ($5800),Mark Andrews ($6000),Raiders ($2600),Dontrelle Inman ($3400),128.3
Teddy Bridgewater ($5900),Dalvin Cook ($7900),Josh Jacobs ($6800),Marquise Brown ($5100),Robby Anderson ($4700),Curtis Samuel ($4600),George Kittle ($7200),Patriots ($3200),Hunter Renfrow ($4500),128.3
Jimmy Garoppolo ($5800),Alvin Kamara ($7200),Josh Jacobs ($6800),T.Y. Hilton ($5800),A.J. Green ($5700),Mike Williams ($4700),Hunter Henry ($5300),WAS Football Team ($2000),Joe Mixon ($6700),128.3
Tom Brady ($6500),Alvin Kamara ($7200),Chris Carson ($6200),Julio Jones ($7700),Terry McLaurin ($5600),Steven Sims Jr. ($4700),Dallas Goedert ($4100),Patriots ($3200),Greg Ward ($4200),128.2
Russell Wilson ($7000),Dalvin Cook ($7900),J.K. Dobbins ($5000),Adam Thielen ($6700),DeSean Jackson ($4900),Allen Lazard ($4900),George Kittle ($7200),Jaguars ($2300),Olabisi Johnson ($4100),128.2
Lamar Jackson ($8100),Tarik Cohen ($4900),Tevin Coleman ($4200),Davante Adams ($7300),DeAndre Hopkins ($6800),Christian Kirk ($5000),George Kittle ($7200),Dolphins ($2000),Larry Fitzgerald ($4500),128.2
Lamar Jackson ($8100),Ronald Jones II ($5200),Tarik Cohen ($4900),Mike Evans ($6900),Kenny Golladay ($6200),Calvin Ridley ($6100),O.J. Howard ($3700),Patriots ($3200),Emmanuel Sanders ($5700),128.2
Matt Ryan ($6700),Alvin Kamara ($7200),Josh Jacobs ($6800),Adam Thielen ($6700),Tyler Lockett ($6500),Russell Gage ($4300),Mark Andrews ($6000),Lions ($2700),Olamide Zaccheaus ($3000),128.2
Philip Rivers ($6000),Alvin Kamara ($7200),Tarik Cohen ($4900),Michael Thomas ($9000),Tyler Lockett ($6500),T.Y. Hilton ($5800),Mo Alie-Cox ($2600),Eagles ($3600),Zach Pascal ($4200),128.2
Matthew Stafford ($6200),Christian McCaffrey ($10000),D'Andre Swift ($4900),Allen Robinson II ($6500),Kenny Golladay ($6200),T.Y. Hilton ($5800),Logan Thomas ($2800),Vikings ($2500),Marquise Brown ($5100),128.2
Cam Newton ($6100),Alvin Kamara ($7200),Joe Mixon ($6700),Julio Jones ($7700),Odell Beckham Jr. ($5900),N'Keal Harry ($4400),Devin Asiasi ($3500),49ers ($3500),Matt Breida ($5000),128.2
Carson Wentz ($6300),Marlon Mack ($5300),J.K. Dobbins ($5000),Davante Adams ($7300),Kenny Golladay ($6200),Odell Beckham Jr. ($5900),Austin Hooper ($5100),Bills ($3700),Marquise Brown ($5100),128.2
Kyler Murray ($6400),Christian McCaffrey ($10000),Ronald Jones II ($5200),Calvin Ridley ($6100),Christian Kirk ($5000),Larry Fitzgerald ($4500),George Kittle ($7200),Jets ($2100),Dontrelle Inman ($3400),128.2
Teddy Bridgewater ($5900),Alvin Kamara ($7200),Miles Sanders ($6300),Michael Thomas ($9000),Curtis Samuel ($4600),Hunter Renfrow ($4500),Mark Andrews ($6000),Jaguars ($2300),Bryan Edwards ($4200),128.2
Tom Brady ($6500),Alvin Kamara ($7200),Tevin Coleman ($4200),Michael Thomas ($9000),Marvin Jones Jr. ($5500),Christian Kirk ($5000),Jared Cook ($5500),Bills ($3700),Dontrelle Inman ($3400),128.2
Josh Allen ($6500),Alvin Kamara ($7200),Josh Jacobs ($6800),T.Y. Hilton ($5800),John Brown ($5600),Jamison Crowder ($5200),Zach Ertz ($5800),Cardinals ($2100),Breshad Perriman ($4900),128.1
