QB,RB,RB,WR,WR,WR,TE,DST,FLEX,PROJ,ACTUAL
Matt Ryan,Chris Carson,Brian Hill,Michael Thomas,D.J. Chark,Corey Davis,Jonnu Smith,Chicago Bears,Kalen Ballage,129.07,77.84
Russell Wilson,Le'Veon Bell,Phillip Lindsay,Julio Jones,Mike Evans,Chris Godwin,Vance McDonald,Seattle Seahawks,Tim Patrick,129.0,115.7
Drew Brees,Alvin Kamara,Leonard Fournette,Michael Thomas,Danny Amendola,Russell Gage,Jared Cook,Denver Broncos,Mike Gesicki,128.96,170.04
Jameis Winston,James White,Brian Hill,Julio Jones,Calvin Ridley,Golden Tate,Zach Ertz,Tampa Bay Buccaneers,Devante Parker,128.96,140.22
Dak Prescott,Nick Chubb,Le'Veon Bell,Michael Thomas,Mike Evans,Jakobi Meyers,Vance McDonald,New Orleans Saints,Benjamin Watson,128.94,107.68
Matt Ryan,Miles Sanders,Bo Scarbrough,Julio Jones,Chris Godwin,D.J. Moore,Zach Ertz,Detroit Lions,Mike Gesicki,128.94,163.54
Matt Ryan,Alvin Kamara,Le'Veon Bell,D.J. Chark,Dede Westbrook,Adam Humphries,Zach Ertz,Chicago Bears,Greg Olsen,128.91,115.84
Baker Mayfield,David Montgomery,Devin Singletary,Michael Thomas,Mike Evans,Mack Hollins,Zach Ertz,Chicago Bears,Dallas Goedert,128.9,126.48
Matt Ryan,David Montgomery,Sony Michel,Michael Thomas,Odell Beckham Jr,Allen Robinson,Kaden Smith,Chicago Bears,Taylor Gabriel,128.89,120.44
Derek Carr,Alvin Kamara,Ezekiel Elliott,Mike Evans,Devante Parker,Demaryius Thomas,Darren Waller,Detroit Lions,Tim Patrick,128.89,85.68
Nick Foles,Alvin Kamara,James White,Michael Thomas,Mike Evans,Tyler Boyd,Jonnu Smith,Miami Dolphins,Adam Humphries,128.89,100.58
